eventid,date,1st,2nd,3rd,4th,5th,joker
1971,2/12/2018,28,14.0,9.0,29.0,38.0,17
1970,29/11/2018,16,44.0,29.0,42.0,18.0,14
1969,25/11/2018,42,36.0,11.0,7.0,40.0,14
1968,22/11/2018,23,30.0,29.0,44.0,10.0,18
1967,18/11/2018,45,36.0,33.0,43.0,31.0,20
1966,15/11/2018,18,24.0,9.0,15.0,30.0,10
1965,11/11/2018,17,6.0,23.0,25.0,8.0,11
1964,8/11/2018,15,11.0,18.0,29.0,45.0,2
1963,4/11/2018,4,25.0,38.0,39.0,21.0,12
1962,1/11/2018,20,2.0,30.0,1.0,6.0,18
1961,29/10/2018,18,9.0,22.0,6.0,12.0,5
1960,25/10/2018,27,9.0,36.0,22.0,7.0,18
1959,21/10/2018,41,1.0,25.0,16.0,5.0,2
1958,18/10/2018,45,37.0,3.0,8.0,11.0,4
1957,14/10/2018,9,34.0,23.0,19.0,15.0,20
1956,11/10/2018,33,36.0,31.0,24.0,23.0,17
1955,7/10/2018,20,4.0,24.0,28.0,32.0,12
1954,4/10/2018,42,7.0,22.0,29.0,31.0,15
1953,30/9/2018,32,2.0,20.0,33.0,15.0,1
1952,27/9/2018,3,41.0,39.0,45.0,5.0,3
1951,23/9/2018,31,34.0,26.0,22.0,20.0,1
1950,20/9/2018,22,14.0,8.0,16.0,12.0,11
1949,16/9/2018,15,10.0,1.0,31.0,25.0,14
1948,13/9/2018,17,8.0,28.0,18.0,35.0,18
1947,9/9/2018,5,2.0,7.0,33.0,13.0,4
1946,6/9/2018,7,30.0,1.0,6.0,24.0,18
1945,2/9/2018,29,36.0,22.0,5.0,31.0,18
1944,30/8/2018,5,10.0,17.0,12.0,41.0,15
1943,26/8/2018,15,22.0,18.0,36.0,23.0,8
1942,23/8/2018,31,29.0,2.0,28.0,6.0,11
1941,19/8/2018,28,2.0,6.0,9.0,38.0,11
1940,16/8/2018,37,11.0,44.0,36.0,7.0,1
1939,12/8/2018,21,13.0,5.0,34.0,31.0,5
1938,9/8/2018,25,36.0,5.0,28.0,19.0,5
1937,5/8/2018,9,22.0,13.0,37.0,21.0,1
1936,2/8/2018,42,1.0,26.0,30.0,15.0,6
1935,29/7/2018,15,10.0,39.0,17.0,2.0,14
1934,26/7/2018,19,44.0,17.0,24.0,6.0,3
1933,22/7/2018,4,43.0,34.0,28.0,27.0,20
1932,19/7/2018,30,23.0,15.0,42.0,37.0,19
1931,15/7/2018,20,24.0,45.0,3.0,8.0,5
1930,12/7/2018,9,7.0,22.0,29.0,39.0,17
1929,8/7/2018,5,36.0,4.0,7.0,1.0,4
1928,5/7/2018,33,17.0,12.0,10.0,25.0,1
1927,1/7/2018,29,39.0,26.0,45.0,33.0,13
1926,28/6/2018,40,27.0,1.0,41.0,6.0,18
1925,24/6/2018,41,27.0,31.0,22.0,17.0,7
1924,21/6/2018,45,23.0,29.0,37.0,43.0,19
1923,17/6/2018,2,23.0,4.0,22.0,39.0,17
1922,14/6/2018,15,43.0,9.0,42.0,1.0,17
1921,10/6/2018,21,3.0,20.0,13.0,40.0,13
1920,7/6/2018,43,4.0,31.0,19.0,11.0,14
1919,3/6/2018,23,25.0,15.0,31.0,11.0,14
1918,31/5/2018,11,14.0,15.0,8.0,39.0,2
1917,27/5/2018,3,24.0,2.0,17.0,21.0,4
1916,24/5/2018,19,25.0,27.0,22.0,13.0,8
1915,20/5/2018,11,5.0,23.0,12.0,18.0,19
1914,17/5/2018,3,15.0,43.0,13.0,39.0,9
1913,13/5/2018,22,34.0,41.0,25.0,2.0,7
1912,10/5/2018,23,43.0,22.0,8.0,36.0,19
1911,6/5/2018,30,38.0,3.0,33.0,23.0,10
1910,3/5/2018,41,32.0,9.0,31.0,44.0,12
1909,29/4/2018,17,4.0,27.0,42.0,7.0,8
1908,26/4/2018,45,9.0,4.0,13.0,31.0,10
1907,22/4/2018,10,39.0,2.0,8.0,29.0,18
1906,19/4/2018,38,40.0,4.0,21.0,9.0,15
1905,15/4/2018,13,31.0,18.0,40.0,11.0,11
1904,12/4/2018,38,10.0,21.0,12.0,9.0,4
1903,7/4/2018,21,31.0,32.0,40.0,29.0,16
1902,4/4/2018,24,43.0,42.0,37.0,8.0,6
1901,1/4/2018,12,21.0,5.0,4.0,15.0,6
1900,29/3/2018,37,24.0,12.0,35.0,39.0,3
1899,24/3/2018,19,23.0,42.0,9.0,40.0,9
1898,22/3/2018,4,11.0,23.0,34.0,22.0,12
1897,18/3/2018,1,21.0,17.0,41.0,13.0,12
1896,15/3/2018,20,28.0,13.0,5.0,25.0,16
1895,11/3/2018,11,38.0,20.0,35.0,3.0,6
1894,8/3/2018,45,10.0,12.0,43.0,29.0,11
1893,4/3/2018,42,3.0,37.0,26.0,2.0,20
1892,1/3/2018,36,19.0,26.0,13.0,23.0,10
1891,25/2/2018,4,3.0,12.0,8.0,25.0,4
1890,22/2/2018,3,18.0,8.0,10.0,17.0,9
1889,18/2/2018,45,9.0,30.0,26.0,1.0,16
1888,15/2/2018,3,29.0,7.0,38.0,14.0,12
1887,11/2/2018,30,28.0,4.0,26.0,9.0,17
1886,8/2/2018,22,43.0,10.0,7.0,32.0,8
1885,4/2/2018,32,28.0,20.0,6.0,16.0,2
1884,1/2/2018,3,19.0,44.0,9.0,7.0,9
1883,28/1/2018,24,17.0,11.0,26.0,22.0,15
1882,25/1/2018,3,9.0,11.0,18.0,36.0,19
1881,21/1/2018,6,18.0,24.0,20.0,34.0,18
1880,18/1/2018,44,42.0,4.0,21.0,15.0,19
1879,14/1/2018,14,44.0,8.0,33.0,29.0,15
1878,11/1/2018,1,4.0,8.0,43.0,34.0,11
1877,7/1/2018,38,20.0,29.0,43.0,34.0,7
1876,4/1/2018,4,17.0,9.0,32.0,22.0,12
1875,31/12/2017,42,3.0,23.0,36.0,13.0,14
1874,28/12/2017,1,17.0,39.0,25.0,30.0,10
1873,24/12/2017,40,13.0,1.0,24.0,15.0,8
1872,21/12/2017,13,40.0,14.0,17.0,3.0,17
1871,17/12/2017,45,6.0,21.0,30.0,20.0,18
1870,14/12/2017,45,5.0,30.0,25.0,22.0,9
1869,10/12/2017,25,3.0,22.0,24.0,13.0,2
1868,7/12/2017,32,22.0,5.0,25.0,21.0,11
1867,3/12/2017,13,24.0,29.0,38.0,2.0,10
1866,30/11/2017,23,11.0,19.0,45.0,32.0,10
1865,26/11/2017,38,6.0,3.0,4.0,41.0,16
1864,23/11/2017,30,7.0,1.0,24.0,34.0,14
1863,19/11/2017,32,1.0,26.0,3.0,25.0,13
1862,16/11/2017,43,14.0,37.0,9.0,35.0,13
1861,12/11/2017,30,27.0,45.0,4.0,21.0,4
1860,9/11/2017,10,42.0,32.0,35.0,6.0,13
1859,5/11/2017,28,25.0,12.0,5.0,15.0,17
1858,2/11/2017,39,4.0,28.0,9.0,31.0,8
1857,29/10/2017,2,24.0,19.0,9.0,25.0,16
1856,26/10/2017,36,15.0,40.0,13.0,24.0,15
1855,22/10/2017,39,14.0,21.0,6.0,36.0,9
1854,19/10/2017,27,32.0,2.0,13.0,33.0,13
1853,15/10/2017,15,11.0,2.0,1.0,35.0,3
1852,12/10/2017,9,36.0,38.0,27.0,29.0,14
1851,8/10/2017,32,29.0,25.0,21.0,23.0,16
1850,5/10/2017,37,38.0,10.0,43.0,14.0,18
1849,1/10/2017,2,38.0,35.0,6.0,25.0,8
1848,28/9/2017,11,27.0,1.0,40.0,44.0,16
1847,24/9/2017,19,29.0,37.0,14.0,24.0,8
1846,21/9/2017,32,16.0,8.0,42.0,10.0,3
1845,17/9/2017,3,41.0,22.0,18.0,29.0,2
1844,14/9/2017,12,2.0,30.0,10.0,14.0,3
1843,10/9/2017,26,18.0,15.0,13.0,3.0,18
1842,7/9/2017,21,45.0,35.0,44.0,9.0,13
1841,3/9/2017,43,21.0,31.0,17.0,41.0,2
1840,31/8/2017,27,1.0,28.0,15.0,12.0,1
1839,27/8/2017,43,4.0,17.0,41.0,39.0,15
1838,24/8/2017,31,8.0,15.0,40.0,21.0,3
1837,20/8/2017,36,29.0,2.0,4.0,28.0,2
1836,17/8/2017,34,10.0,35.0,24.0,31.0,5
1835,13/8/2017,1,28.0,16.0,20.0,29.0,1
1834,10/8/2017,28,39.0,25.0,30.0,12.0,16
1833,6/8/2017,7,34.0,23.0,45.0,4.0,12
1832,3/8/2017,15,1.0,8.0,5.0,12.0,19
1831,30/7/2017,33,38.0,6.0,15.0,42.0,19
1830,27/7/2017,43,28.0,33.0,32.0,24.0,18
1829,23/7/2017,41,35.0,33.0,43.0,40.0,4
1828,20/7/2017,24,10.0,11.0,41.0,25.0,6
1827,16/7/2017,26,23.0,36.0,12.0,17.0,20
1826,13/7/2017,38,4.0,3.0,32.0,39.0,19
1825,9/7/2017,8,6.0,27.0,42.0,12.0,16
1824,6/7/2017,42,2.0,28.0,14.0,23.0,1
1823,2/7/2017,31,29.0,11.0,15.0,16.0,18
1822,29/6/2017,25,33.0,8.0,31.0,17.0,10
1821,25/6/2017,1,10.0,5.0,30.0,2.0,17
1820,22/6/2017,36,5.0,35.0,12.0,33.0,8
1819,18/6/2017,32,11.0,28.0,26.0,10.0,11
1818,15/6/2017,6,23.0,24.0,37.0,25.0,9
1817,11/6/2017,15,40.0,19.0,16.0,7.0,11
1816,8/6/2017,5,10.0,28.0,16.0,40.0,19
1815,4/6/2017,11,22.0,25.0,18.0,41.0,19
1814,1/6/2017,20,7.0,23.0,40.0,6.0,15
1813,28/5/2017,10,45.0,29.0,36.0,35.0,7
1812,25/5/2017,24,27.0,18.0,41.0,10.0,15
1811,21/5/2017,41,13.0,12.0,5.0,40.0,2
1810,18/5/2017,43,7.0,31.0,44.0,22.0,13
1809,14/5/2017,34,43.0,38.0,40.0,41.0,6
1808,11/5/2017,27,12.0,23.0,8.0,29.0,15
1807,7/5/2017,12,42.0,1.0,21.0,7.0,17
1806,4/5/2017,41,9.0,40.0,16.0,33.0,3
1805,30/4/2017,30,24.0,8.0,16.0,37.0,17
1804,27/4/2017,2,41.0,27.0,9.0,12.0,11
1803,23/4/2017,3,29.0,42.0,33.0,32.0,20
1802,20/4/2017,15,14.0,17.0,38.0,12.0,8
1801,15/4/2017,25,35.0,29.0,44.0,36.0,11
1800,12/4/2017,17,13.0,36.0,45.0,21.0,6
1799,9/4/2017,43,12.0,10.0,29.0,30.0,12
1798,6/4/2017,28,31.0,37.0,27.0,42.0,1
1797,2/4/2017,3,23.0,13.0,32.0,17.0,19
1796,30/3/2017,27,34.0,14.0,25.0,23.0,20
1795,26/3/2017,37,30.0,38.0,21.0,4.0,8
1794,23/3/2017,13,19.0,2.0,16.0,20.0,11
1793,19/3/2017,17,37.0,38.0,29.0,31.0,15
1792,16/3/2017,20,35.0,4.0,14.0,27.0,10
1791,12/3/2017,41,8.0,10.0,38.0,28.0,6
1790,9/3/2017,8,24.0,3.0,40.0,5.0,17
1789,5/3/2017,21,34.0,19.0,18.0,38.0,15
1788,2/3/2017,41,45.0,31.0,5.0,2.0,11
1787,26/2/2017,33,3.0,4.0,16.0,37.0,15
1786,23/2/2017,27,22.0,38.0,42.0,40.0,2
